IngredientID,DisplayName,Description,Class,bIsWater,AllowedBiomes,RarityWeight,Element,Tags,ResourceMesh,Icon,BaseState_Magnitude,BaseState_Direction_Body,BaseState_Direction_Mind,BaseState_Direction_Spirit,BaseState_Direction_Nature,BaseState_Meta_Distortion,BaseState_Meta_Stability,BaseState_Meta_Purity,BaseState_Meta_Potency,BaseState_Meta_Resonance,BaseState_Meta_Corruption
bol_11,Бѣлый мохъ (Сфагновые мхи),"# Бѣлый мохъ (Сфагновые мхи)  *[Изображение: sfagnum.jpeg]*  ## Описание  Стелится по болоту бело-зелёным ковром, мягким, да неласковым. Потрогаешь — вода течёт, отожмёшь — сухой, а через миг снова мокрый. Будто живая губка, что пьёт слёзы земли. В народе",Plant,False,Болото,1,[['Вода']],болото;мох;сфагнум;белый мох;живой мох;торфяник;мертвая губа;болотная шерсть,,,0.35,0.1,0.2,0.6,0.9,0.2,0.75,0.8,0.25,0.5,0.15
bol_12,Трифоль (Вахта трёхлистная),"# Трифоль (Вахта трёхлистная)  *[Изображение: trifol.jpeg]*  ## Описание  То не клевер луговой, то иное — Трифоль болотный, что стражи́т у самой трясины. Лист у него тройчатый, словно три ладони, молящие о пощаде, а цветёт он бело-розовыми свечками, что в",Plant,False,Болото,1,[['Вода']],болото;трава;бобовник;лихорадочник;троелистка,,,0.45,0.2,0.4,0.8,0.7,0.6,0.4,0.5,0.6,0.75,0.5
les_01,Синецвет (Василёк),"# Синецвет (Василёк)  *[Изображение: vasilek.jpeg]*  ## Описание  Смотрит из ржи синим глазом — то Синецвет, василёк-трава. Стебель тонкий, жёсткий, цветок лазоревый, словно небо в землю глядит. В народе бают: когда пахарь пашет поле, то Господь за ним ид",Plant,False,Лесостепь,1,Земля,лесостепь;трава;василёк;синецвет;волошки;блават,,,0.45,0.15,0.45,0.65,0.8,0.3,0.5,0.7,0.45,0.6,0.2
les_02,Стародубка (Горицвет весенний),"# Стародубка (Горицвет весенний)  *[Изображение: goricvet.jpeg]*  ## Описание  На пригорках, где солнце печёт, цветёт Стародубка — жёлтыми искрами, алым огнём. Цветок у неё яркий, будто жар-птица перо обронила. Стебель прямой, крепкий, как старый дубок —",Plant,False,Лесостепь,1,Огонь,лесостепь;трава;горицвет;стародубка;желтоцвет;черногорка,,,0.5,0.2,0.5,0.8,0.7,0.45,0.4,0.5,0.75,0.7,0.35
les_03,Буркун (Донник),"# Буркун (Донник)  *[Изображение: donnik.jpeg]*  ## Описание  В чистом поле, на межах да вдоль дорог, растёт Буркун — трава рослая, с мелкими жёлтыми цветками, что мёдом пахнут. Только не обманывайся сладким духом: за ним горечь идёт. В народе зовут его «",Plant,False,Лесостепь,1,Земля,лесостепь;трава;донник;буркун;могильница,,,0.45,0.25,0.5,0.7,0.75,0.35,0.45,0.55,0.6,0.65,0.3
les_04,Дятлина (Клевер луговой),"# Дятлина (Клевер луговой)  *[Изображение: klever.jpeg]*  ## Описание  На лугу, где коровы пасутся, а пастухи дудки режут, цветёт Дятлина — тройчатый лист, красная головка, будто капелька крови. В старину баяли: то Мать Сыра Земля рожает цветок для скотин",Plant,False,Лесостепь,1,Земля,лесостепь;трава;клевер;дятлина;красноголовник;кашка,,,0.5,0.3,0.4,0.65,0.75,0.3,0.55,0.6,0.5,0.6,0.25
les_05,"Ковыль (Тирса, Перова трава)","# Ковыль (Тирса, Перова трава)  *[Изображение: kovyl.jpeg]*  ## Описание  Стелится по степи седым морем — то ковыль колышется, волнами ходит. Белые ости, как бороды старцев, шелестят на ветру, поют тоскливо. В народе зовут «перова трава» — будто сам Перун",Plant,False,Лесостепь,1,Воздух,лесостепь;трава;ковыль;тирса,,,0.4,0.1,0.3,0.85,0.8,0.6,0.35,0.7,0.65,0.75,0.25
les_06,Сон-трава (Прострел),"# Сон-трава (Прострел)  *[Изображение: son_trava.jpeg]*  ## Описание  В лесостепи, на пригорочках, где солнце весной пригревает, расцветает Сон-трава. Ещё снег не сошёл, а она уже лиловым колокольчиком глядит, опушённая серебряной шерстью, будто сонная ба",Plant,False,Лесостепь,1,Воздух,лесостепь;трава;сон-трава;прострел;сон-зелье;вещие сны;усон-трава;сончик,,,0.4,0.1,0.4,0.9,0.8,0.75,0.3,0.55,0.7,0.85,0.4
les_07,"Типец (Типчак, Овсяница валлийская)","# Типец (Типчак, Овсяница валлийская)  *[Изображение: tipchak.jpeg]*  ## Описание  В сухой степи, где овцы пасутся да жаворонки поют, растёт Типец — травка невысокая, жёсткая, сизая, будто сединой покрытая. Колосья у неё тонкие, метёлочкой, шелестят на ве",Plant,False,Лесостепь,1,Земля,лесостепь;трава;типчак;типец;овсяница;метлица;овечья трава;суходольник,,,0.4,0.15,0.35,0.6,0.85,0.25,0.7,0.65,0.3,0.45,0.2
les_08,"Шалфей луговой (Конский шалфей, Бабка)","# Шалфей луговой (Конский шалфей, Бабка)  *[Изображение: shalfey_lugovoy.jpeg]*  ## Описание  На холмах, где ветер гуляет да пчёлы жужжат, цветёт шалфей луговой — голубыми свечками, листом морщинистым, что ладонь старого ведуна. Пахнет горько-сладко, камф",Plant,False,Лесостепь,1,Земля,лесостепь;трава;шалфей;сальвия;жабрей;конский шалфей;бабка;красные головки,,,0.5,0.25,0.55,0.7,0.75,0.3,0.5,0.6,0.55,0.6,0.25
riv_01,Ракита (Ива плакучая),"# Ракита (Ива плакучая)  *[Изображение: iva.jpeg]*  ## Описание  Стоит у воды, ветви до самой реки свесила, словно баба по покойнике плачет. Лист у неё узкий, бледный, с изнанки седой, а как ветер подует — стонет, скрипит, шепчет неладное. В народе зовут",Plant,False,Речная пойма,1,[['Вода']],ива;ракита;верба;плакучая;ветла;краснотал;шелюга,,,0.45,0.2,0.4,0.8,0.7,0.6,0.35,0.45,0.5,0.7,0.5
riv_02,Петушки (Ирис болотный),"# Петушки (Ирис болотный)  *[Изображение: iris_bolotnyi.jpeg]*  ## Описание  На сырых берегах, где утром туман стелется да лягушки квакают, цветут Петушки — жёлтые, с коричневыми крапинками, будто крылья бабочкины. Лист мечевидный, жёсткий, сизо-зелёный.",Plant,False,Речная пойма,1,[['Вода']],речная пойма;ирис;петушки;касатик;селёдочник;сабельник (не путать);болотный цвет;водяная лилия (ошибочно),,,0.45,0.15,0.3,0.75,0.85,0.45,0.5,0.6,0.55,0.7,0.3
riv_03,"Ирный корень (Аир обыкновенный, Лепеха)","# Ирный корень (Аир обыкновенный, Лепеха)  *[Изображение: air.jpeg]*  ## Описание  На отмелях, где вода тихая да рыба плещется, растёт Ирный корень — из воды торчат мечевидные листья, жёлто-зелёные, жёсткие, а внизу корневище толстое, розовое, пахучее, ка",Plant,False,Речная пойма,1,[['Вода']],речная пойма;трава;аир;ирный корень;лепеха;водяной корень,,,0.55,0.2,0.45,0.7,0.75,0.3,0.6,0.65,0.6,0.6,0.2
riv_04,"Калина (Червона ягода, Снегирёва ягода)","# Калина (Червона ягода, Снегирёва ягода)  *[Изображение: kalina.jpeg]*  ## Описание  В сырых низинах, у самой воды, растёт калина — куст кудрявый, в белых цветах весной, в красных гроздьях осенью. Ягода горькая, да после мороза сладкой становится. В наро",Plant,False,Речная пойма,1,[['Вода']],речная пойма;калина;червона ягода;снегирёва ягода;лесная краса;свадебная ягода;горькая сладость;тайна девичья,,,0.55,0.3,0.4,0.75,0.7,0.35,0.55,0.65,0.6,0.7,0.25
riv_05,Куга (Камыш озерный),"# Куга (Камыш озерный)  *[Изображение: kamysh.jpeg]*  ## Описание  У самой кромки воды, где мелко да тихо, стоит Куга — коричневыми бархатными головками кивает, словно кивает, подзывает. Стебель прямой, полый, шуршит на ветру сухо, страшно. В народе бают:",Plant,False,Речная пойма,1,[['Вода']],речная пойма;камыш;куга;тростник (ошибочно);водяная метла;болотный веник;шуршун,,,0.4,0.1,0.25,0.65,0.85,0.3,0.7,0.55,0.3,0.55,0.2
riv_06,Одолень-трава (Кувшинка белая),"# Одолень-трава (Кувшинка белая)  *[Изображение: kuvshinka.jpeg]*  ## Описание  На тихой воде, где течение спит да солнце в омут глядится, цветёт Одолень-трава — белая лилия, жёлтая сердцевина, лист, что ладонь. В народе бают: то не цветок, а русалка, что",Plant,False,Речная пойма,1,[['Вода']],речная пойма;кувшинка;одолень-трава;белая водяная лилия;водяной цвет;русалочий цвет;лопушник водяной,,,0.5,0.1,0.3,0.9,0.85,0.5,0.4,0.8,0.7,0.85,0.15
riv_07,Вольха (Ольха серая),"# Вольха (Ольха серая)  *[Изображение: olha.jpeg]*  ## Описание  У самой воды, корнями в ручей глядя, растёт Вольха — ствол прямой, кора гладкая, серебристая, лист зубчатый, на ветру трепещет, шепчет. Серёжки у неё повисли, как косы девичьи, а шишки чёрны",Plant,False,Речная пойма,1,[['Вода']],речная пойма;ольха;вольха;елха;чернотал (не путать);водяное дерево;береговое дерево,,,0.5,0.2,0.35,0.7,0.75,0.4,0.6,0.5,0.45,0.65,0.35
riv_08,"Рогоз (Початки, Батлачок)","# Рогоз (Початки, Батлачок)  *[Изображение: rogoz.jpeg]*  ## Описание  У самой воды, из тины поднимаются тёмно-коричневые початки — бархатные, плотные, на пальцы похожие. Стебель высокий, жёсткий, лист длинный, мечевидный. В народе зовут Рогоз, а иные — «",Plant,False,Речная пойма,1,[['Вода']],речная пойма;рогоз;початки;батлачок;чаткан;ситовник;водяная свеча;чертов палец,,,0.4,0.15,0.3,0.65,0.85,0.25,0.65,0.6,0.35,0.5,0.2
riv_09,Чернушка (Смородина чёрная),"# Чернушка (Смородина чёрная)  *[Изображение: smorodina_chernaya.jpeg]*  ## Описание  В сырых кустарниках, у самой воды, растёт Чернушка — куст кудрявый, лист зубчатый, пахучий, а ягода чёрная, с сизым налётом, как глаз воровской. Запах от неё сильный, пр",Plant,False,Речная пойма,1,[['Вода']],речная пойма;смородина;чернушка;чёрная ягода;лесная смородина;кисельная ягода;сморода;чёрный грозд,,,0.5,0.25,0.45,0.7,0.75,0.3,0.5,0.65,0.55,0.6,0.2
riv_10,"Стрелолист (Жабник, Шилник)","# Стрелолист (Жабник, Шилник)  *[Изображение: strelolist.jpeg]*  ## Описание  На мелководье, где тина да ряска, торчит из воды Стрелолист — лист, как наконечник стрелы, острый, твёрдый. Стебель длинный, белый, хрустящий. В народе бают: то не трава, а стре",Plant,False,Речная пойма,1,[['Вода']],речная пойма;стрелолист;жабник;шильник;водяная стрела;лягушечник;болотный лучник,,,0.45,0.15,0.35,0.7,0.8,0.35,0.55,0.6,0.5,0.65,0.25
mix_01,Берёза кудрявая (Белостволка),"# Берёза кудрявая (Белостволка)  *[Изображение: bereza_mix.jpeg]*  ## Описание  На опушке да на пригорке, где солнце играет, стоит Берёза кудрявая — ствол белый, в чёрных крапинках, ветви вниз склонены, лист зелёный, зубчатый, на ветру шелестит, словно де",Plant,False,Смешанный лес,1,[['Воздух']],смешанный лес;дерево;берёза;белостволка;кудрявая;весеннее дерево;девичья радость,,,0.5,0.25,0.45,0.7,0.75,0.2,0.55,0.75,0.5,0.65,0.15
mix_10,"Бледная поганка (Смертный гриб, Ведьмин зонт)","# Бледная поганка (Смертный гриб, Ведьмин зонт) *[Изображение: blednaya_poganka.jpeg]* ## Описание С виду невинная: бледно-зеленоватая шляпка, белая ножка с юбочкой. Но это самый смертоносный гриб. В народе зовут «ведьмин зонт», «смертный гриб». Говорят,",Fungus,False,Смешанный лес,1,[['Вода']],смешанный лес;гриб;поганка;яд;смерть,,,0.4,0.2,0.3,0.9,0.5,0.8,0.15,0.1,0.9,0.7,0.95
mix_02,"Ветреница (Перелеска, Подснежница)","# Ветреница (Перелеска, Подснежница)  *[Изображение: vetrenica.jpeg]*  ## Описание  Ещё снег не везде сошёл, а в лесу, под старыми дубами, уже цветёт Ветреница — белый цветок на тонком стебле, качается от малейшего ветра, словно живой. Лист у неё резной,",Plant,False,Смешанный лес,1,[['Воздух']],смешанный лес;трава;ветреница;перелеска;подснежница;белый цвет;ветровая трава;лесной подснежник,,,0.45,0.1,0.35,0.8,0.75,0.6,0.35,0.6,0.65,0.75,0.3
mix_03,Жарок (Купальница европейская),"# Жарок (Купальница европейская)  *[Изображение: kupalnitsa.jpeg]*  ## Описание  В сырых лесах, у ручьёв да на низинных лугах, в пору летнего солнцеворота расцветает Жарок — жёлтые шары, словно маковки, горят среди зелени. Цветок у него закрытый, как свеч",Plant,False,Смешанный лес,1,[['Огонь']],смешанный лес;трава;купальница;жарок;огонек;бубенчики;синюха (ошибочно);купава,,,0.45,0.15,0.3,0.75,0.8,0.55,0.4,0.55,0.65,0.7,0.35
mix_04,"Ландыш майский (Лесной звон, Серебряник)","# Ландыш майский (Лесной звон, Серебряник)  *[Изображение: landysh.jpeg]*  ## Описание  В глухой чаще, где солнце редко заглядывает, под пологом старых лип и дубов, в мае цветёт Ландыш — белые колокольчики на тонкой стрелке, словно подвески на девичьем ож",Plant,False,Смешанный лес,1,[['Вода']],смешанный лес;трава;ландыш;лесной звон;серебряник;майская лилия;заячья соль;молодильник;воронец,,,0.45,0.1,0.35,0.85,0.75,0.7,0.3,0.6,0.7,0.8,0.4
mix_05,"Лѣщина (Орешник, Громовой орех)","# Лѣщина (Орешник, Громовой орех)  *[Изображение: leshchina.jpeg]*  ## Описание  В смешанном лесу, на опушках да по оврагам, растёт Лѣщина — куст кудрявый, лист широкий, зубчатый, а осенью орех в зелёной плюске, твёрдый, как кость. В народе зовут её «гром",Plant,False,Смешанный лес,1,[['Воздух']],смешанный лес;кустарник;лещина;орешник;громовой орех;волшебный орех;лоза;кладоискатель;грозовое дерево,,,0.5,0.2,0.5,0.7,0.8,0.3,0.6,0.65,0.5,0.7,0.15
mix_06,"Медвяница (Медуница, Легочница)","# Медвяница (Медуница, Легочница)  *[Изображение: medunica.jpeg]*  ## Описание  Ещё в лесу местами снег лежит, а у корней старых дубов и лип уже пробивается Медвяница — стебель шершавый, лист пятнистый, будто в белых веснушках, а цветы на одном стебле и р",Plant,False,Смешанный лес,1,[['Земля']],смешанный лес;трава;медуница;медвяница;легочница;сосульник;весенняя трава;лесная свеча;пятнистый лист,,,0.45,0.2,0.4,0.7,0.8,0.3,0.5,0.65,0.55,0.65,0.2
mix_09,"Мухомор (Мушиный гриб, Лесной шут)","# Мухомор (Мушиный гриб, Лесной шут) *[Изображение: muhomor.jpeg]* ## Описание Красная шапка в белых крапинах — кто не знает Мухомора? Растёт в сырых лесах, красуется, будто сам Леший его для потехи посадил. В народе говорят: «Мухомор красен, да для еды о",Fungus,False,Смешанный лес,1,[['Огонь']],смешанный лес;гриб;мухомор;галлюциноген;духи,,,0.65,0.4,0.8,0.6,0.2,0.85,0.25,0.3,0.75,0.85,0.8
mix_07,"Осина (Шептун, Проклятое дерево)","# Осина (Шептун, Проклятое дерево)  *[Изображение: osina.jpeg]*  ## Описание  Стоит среди берез и дубов Осина — ствол зеленовато-серый, в лишайниках, лист круглый, дрожит, шелестит даже в безветрие, словно шепчет что-то неладное. В народе зовут её «прокля",Plant,False,Смешанный лес,1,[['Воздух']],смешанный лес;дерево;осина;шептун;проклятое дерево;иудино дерево;дрожащее дерево;коловерт,,,0.5,0.2,0.4,0.85,0.6,0.7,0.45,0.5,0.65,0.8,0.45
mix_08,"Папоротник (Щитовник мужской, Перунов цвет)",*← [К списку ингредиентов Смешанного леса](04_Compendium/Ingredients/Смешанный лес)*,Plant,False,Смешанный лес,1,[['Земля']],смешанный лес;папоротник;щитовник;перунов цвет;купальский цвет;разрыв-трава;чертов палец;кладоискатель,,,0.5,0.2,0.4,0.8,0.7,0.6,0.4,0.5,0.65,0.75,0.4
ste_01,Кошачий горох (Астрагал шерстистоцветковый),"# Кошачий горох (Астрагал шерстистоцветковый)  *[Изображение: astragal.jpeg]*  ## Описание  В ковыльной степи, на сухих склонах да по балкам, растёт Кошачий горох — невысокая трава с нежными перистыми листьями и жёлто-белыми цветками, что собраны в кисти,",Plant,False,Степь,1,[['Земля']],степь;трава;астрагал;кошачий горох;журавлиный горох;живучая трава;перекати-поле (ошибочно);змеедушник,,,0.5,0.15,0.45,0.7,0.85,0.3,0.55,0.7,0.6,0.65,0.2
ste_07,"Бессмертник (Цмин песчаный, Сухоцвет)",_← [К списку ингредиентов Степи](https://04_compendium/Ingredients/%D0%A1%D1%82%D0%B5%D0%BF%D1%8C)_,Plant,False,Степь,1,[['Земля']],степь;трава;бессмертник;цмин;сухоцвет;златоцвет;живучая трава;память предков,,,0.4,0.15,0.35,0.7,0.75,0.25,0.8,0.6,0.55,0.65,0.15
ste_02,"Степной хрен (Катран, Дикая редька)","# Степной хрен (Катран, Дикая редька)  *[Изображение: katran.jpeg]*  ## Описание  В сухой степи, где ветер гуляет и солнце печёт, растёт Степной хрен — лист сизый, резной, будто папоротник, а внизу корень толстый, чёрный, как уголь, а внутри белый, жгучий",Plant,False,Степь,1,[['Земля']],степь;трава;катран;степной хрен;дикая редька;воловий корень,,,0.5,0.2,0.4,0.65,0.8,0.35,0.6,0.6,0.55,0.55,0.25
ste_03,"Любчак (Мак самосейка, Дикий мак)","# Любчак (Мак самосейка, Дикий мак)  *[Изображение: mak.jpeg]*  ## Описание  В степи, на старых курганах да вдоль заброшенных дорог, алым пожаром цветёт Любчак — мак самосейка, дикий, не сеяный. Лепестки его красны, как кровь, а сердцевина чёрная, как ноч",Plant,False,Степь,1,[['Земля']],степь;трава;мак;любчак;самоцвет;сон-зелье;глаз ведьмы;дикий мак;красный мак;червонный цвет,,,0.4,0.05,0.25,0.9,0.8,0.8,0.2,0.4,0.8,0.85,0.7
ste_04,Чернобыльник (Полынь горькая),"# Чернобыльник (Полынь горькая)  *[Изображение: polyn.jpeg]*  ## Описание  В степи, вдоль дорог да на пустырях, где ветер гуляет, растёт Чернобыльник — стебель прямой, фиолетовый, лист рассечённый, снизу беловойлочный, пахнет горько, как тоска. В народе з",Plant,False,Степь,1,[['Воздух']],степь;трава;полынь;чернобыльник;чернобыль;емшан;быльё;вдовья трава;оберег от нечисти,,,0.45,0.1,0.5,0.8,0.7,0.55,0.5,0.6,0.65,0.75,0.4
ste_05,"Порезник (Тысячелистник, Кровавник)","# Порезник (Тысячелистник, Кровавник)  *[Изображение: tysyachelistnik.jpeg]*  ## Описание  В степи, на межах да по краям полей, растёт Порезник — лист рассечённый, будто на тысячи нитей, корзинки белые или розовые, щитком. В народе зовут «кровавник», «сер",Plant,False,Степь,1,[['Земля']],степь;трава;тысячелистник;порезник;кровавник;серпорез;кашка;белоголовник,,,0.45,0.15,0.45,0.7,0.8,0.3,0.5,0.65,0.55,0.6,0.2
ste_06,"Лазорик (Тюльпан степной, Огневка)","# Лазорик (Тюльпан степной, Огневка)  *[Изображение: tulpan.jpeg]*  ## Описание  В весенней степи, едва сойдёт снег, вспыхивают Лазорики — алым, жёлтым, пурпурным огнём. Бокал цветка на тонком стебле, лепестки на солнце отсвечивают, как начищенная медь. В",Plant,False,Степь,1,[['Огонь']],степь;цветок;тюльпан;лазорик;огневка;зорька;степная свеча;майский цвет,,,0.45,0.1,0.3,0.75,0.85,0.5,0.35,0.6,0.6,0.7,0.3
tai_01,"Брусника (Боровика, Сердце-ягода)","# Брусника (Боровика, Сердце-ягода)  *[Изображение: brusnika.jpeg]*  ## Описание  В глухой тайге, где сосны да ели стеной стоят, стелется Брусника — кустик низкий, лист зелёный, кожистый, даже зимой из-под снега глядит, ягода красная, кисло-сладкая. В нар",Plant,False,Тайга,1,[['Земля']],тайга;ягода;брусника;боровика;сердечная ягода;вечнозелёная;медвежья ягода;подснежница (ошибочно),,,0.5,0.25,0.4,0.65,0.8,0.25,0.6,0.7,0.5,0.6,0.15
tai_02,Зимозелень (Грушанка круглолистная),"# Зимозелень (Грушанка круглолистная)  *[Изображение: grushanka.jpeg]*  ## Описание  В глухой тайге, под пологом сосен и елей, стелется Зимозелень — лист тёмно-зелёный, кожистый, округлый, как монетка, даже зимой из-под снега зелёным глядит. Цветёт белыми",Plant,False,Тайга,1,[['Земля']],тайга;трава;грушанка;зимозелень;боровинка;грушка;лесная груша;пардушка,,,0.45,0.15,0.4,0.7,0.8,0.3,0.55,0.65,0.55,0.65,0.2
tai_08,"Жимолость (Жимолость синяя, Лесная вишня)",_← [К списку ингредиентов Тайги](https://04_compendium/Ingredients/%D0%A2%D0%B0%D0%B9%D0%B3%D0%B0)_,Plant,False,Тайга,1,[['Вода']],тайга;кустарник;жимолость;синяя жимолость;лесная вишня;медовая ягода;северный виноград,,,0.45,0.2,0.35,0.6,0.75,0.3,0.6,0.65,0.45,0.55,0.2
tai_04,"Кисличка (Кислица, Заячья капуста)","# Кисличка (Кислица, Заячья капуста)  *[Изображение: kislica.jpeg]*  ## Описание  В тенистом ельнике, где солнце редко заглядывает, стелется Кисличка — лист тройчатый, как клевер, но нежный, кисловатый на вкус. Цветёт белым цветком с фиолетовыми жилками,",Plant,False,Тайга,1,[['Вода']],тайга;трава;кислица;кисличка;заячья капуста;кукушкин клевер;лесной щавель;сонная трава (ошибочно),,,0.4,0.1,0.35,0.65,0.85,0.25,0.55,0.7,0.45,0.6,0.15
tai_05,"Верес (Можжевельник, Яловець)","# Верес (Можжевельник, Яловець)  *[Изображение: mozhzhevelnik.jpeg]*  ## Описание  В сухих борах, на опушках тайги, растёт Верес — куст колючий, хвоя жёсткая, шишки сизо-чёрные, будто ягоды, пахнут смолой и перцем. В народе зовут «яловець», «смерделка». Б",Plant,False,Тайга,1,[['Огонь']],тайга;кустарник;можжевельник;верес;яловець;боровой верес;смерделка;громовая ягода,,,0.5,0.2,0.4,0.75,0.8,0.25,0.65,0.7,0.6,0.7,0.15
tai_07,"Пихта (Пихта сибирская, Лесная свеча)",_← [К списку ингредиентов Тайги](https://04_compendium/Ingredients/%D0%A2%D0%B0%D0%B9%D0%B3%D0%B0)_,Plant,False,Тайга,1,[['Земля']],тайга;дерево;пихта;лесная свеча;обережное дерево;смола;воскурение;сибирская пихта,,,0.55,0.25,0.4,0.65,0.7,0.2,0.75,0.7,0.5,0.6,0.15
tai_03,Сосна (Перунова сестра),"# Сосна (Перунова сестра) *[Изображение: sosna.jpeg]* ## Описание В суровых таёжных борах, на песчаных холмах, высится Сосна — ствол медно-золотой, крона раскидистая, хвоя длинная, мягкая. В народе зовут «Перунова сестра»: бают, сам Громовержец посадил пе",Plant,False,Тайга,1,[['Земля']],тайга;дерево;сосна;перунова сестра;долголетие,,,0.55,0.25,0.35,0.65,0.7,0.2,0.75,0.7,0.5,0.6,0.15
